DATA;NOME FUNDO;TAXA ADM;PERFIL DE INVEST.;COTA;PATRIM.
14/05/2021;FIC JUROS E MOEDAS MM PLUS LP;1;Arrojado;1,125057;77,995
14/05/2021;FI OURO MULTIMERCADO LP;0,8;Agressivo;1,536158;252,61
14/05/2021;FIC HEDGE MULTIMERCADO LONGO PRAZO;1;Arrojado;1.003,39;30,535
14/05/2021;FI CAIXA INDEXA BOLSA AMERICANA MM LP;0,8;Arrojado;1,496442;1.896,47
14/05/2021;FIC MULTIMERCADO MULTIGESTOR;1,5;Agressivo;1,859759;460,525
14/05/2021;FIC ESTRATEGIA LIVRE MULTIMERCADO LP;1,5;Arrojado;1.088,68;922,833
14/05/2021;FIC ESTRATEGICO MULTIMERCADO LP;1,2;Agressivo;3,473881;288,412
14/05/2021;FIC CAPITAL PROTEGIDO IBOVESPA CCLICO I MULT;1,6;Arrojado;2,461363;103,51
14/05/2021;CAIXA EXPERT GIANT ZARATHUSTRA MULT;2;Agressivo;-;-
14/05/2021;FIC FIM MULTIGESTOR GLOBAL EQUITIES IE;1;Arrojado;1.016,28;160,328
14/05/2021;CAIXA IMOB MULT FIC MM CRED PRIV;1;Agressivo;-;-
14/05/2021;FI BTG PACTUAL X10 MULT LP;2;Agressivo;4,175666;995,821
14/05/2021;FIC ALOCACAO MACRO MULTIMERCADO LP;0,5;Arrojado;3,551005;4.526,52
14/05/2021;FI JUROS E MOEDAS MULTIMERCADO LP;0,7;Arrojado;2,119498;1.149,47
14/05/2021;FIC INDEXA DOLAR CAMBIAL;0,8;Arrojado;3,26528;182,101
14/05/2021;FI ACOES VALE DO RIO DOCE;2;Arrojado;34,783553;1.283,10
14/05/2021;CAIXA FIA PETROBRAS PLUS;1,5;Arrojado;0,872423;79,086
14/05/2021;FIC ACOES IBOVESPA;2;Arrojado;6,607274;173,132
14/05/2021;FI ACOES INFRAESTRUTURA;2;Arrojado;1,950489;507,274
14/05/2021;CAIXA FIA INDEXA SETOR FINANCEIRO;0,8;Arrojado;-;-
14/05/2021;FI ACOES CONSTRUCAO CIVIL;2;Arrojado;1,611499;420,026
14/05/2021;FI ACOES IBOVESPA ATIVO;3;Agressivo;1,862941;98,079
14/05/2021;FI ACOES CONSUMO;1,6;Arrojado;2,069628;601,039
14/05/2021;FI ACOES PETROBRAS PRE-SAL;0,5;Arrojado;1,224363;69,291
14/05/2021;CAIXA FIC FIA ACOES MULTIGESTOR;1,5;Arrojado;1,260925;1.062,87
14/05/2021;FI ACOES INDEXA PIBB IBRX-50;0,8;Arrojado;4,177502;111,287
14/05/2021;FI ACOES IBRX ATIVO;1,5;Agressivo;3,716825;132,243
14/05/2021;FI ACOES PETROBRAS;1,5;Arrojado;8,069673;663,941
14/05/2021;FI ACOES DIVIDENDOS;1,5;Arrojado;4,080371;302,291
14/05/2021;FI ACOES ISE;0,8;Arrojado;1,694099;15,111
14/05/2021;FI ACOES BRASIL IBOVESPA;0,5;Arrojado;2,757707;844,086
14/05/2021;FI ACOES BRASIL IBX-50;0,7;Arrojado;1,586494;1.247,33
14/05/2021;FI ACOES SMALL CAPS ATIVO;1,5;Agressivo;2,037602;1.162,62
14/05/2021;FI ACOES BRASIL ETF IBOVESPA;0,5;Arrojado;2,531585;129,494
14/05/2021;FI ACOES BDR NVEL I;1,5;Arrojado;5,328684;884,986
14/05/2021;FIA ACOES INSTITUCIONAL BDR NIVEL I;0,7;Arrojado;5,730652;2.931,96
14/05/2021;FIC ACOES VALOR SMALL CAP RPPS;1,72;Arrojado;1,955068;798,886
14/05/2021;CAIXA EXPERT CLARITAS VALOR FIC ACOES;0;Agressivo;1.183,81;41,449
14/05/2021;FIC ACOES VALOR DIVIDENDOS RPPS;1,72;Arrojado;2,244914;1.000,12
14/05/2021;CAIXA FIC EXPERT VERDE AM LONG BIAS ACOES;2;Agressivo;1.140,90;64,496
14/05/2021;ETF IBOVESPA FUNDO DE NDICE;0,5;Arrojado;119,294653;125,26
14/05/2021;FMP-FGTS PETROBRAS II;1,4;Arrojado;7,906568;257,242
14/05/2021;FMP-FGTS PETROBRAS III;1,2;Arrojado;8,308409;473,435
14/05/2021;FMP-FGTS PETROBRAS IV;0,95;Arrojado;8,742357;397,048
14/05/2021;FMP FGTS VALE I;1,9;Arrojado;33,205086;685,402
14/05/2021;FMP FGTS VALE II;1,4;Arrojado;37,469711;1.259,58
14/05/2021;FMP-FGTS CL PETROBRAS RF49;2,2;Arrojado;5,482524;0,766
14/05/2021;FMP FGTS VALE MIGRACAO;1,9;Arrojado;32,448323;6,125
13/05/2021;FIC FACIL RF SIMPLES;1,7;Conservador;3,417498;8.383,15
13/05/2021;FI E-SIMPLES RENDA FIXA LP;1,5;Unknown;1,381107;2.873,49
13/05/2021;FIC GERACAO JOVEM CRED PRIV RF LP;1;Arrojado;1,912415;6,887
13/05/2021;FIC CAPITAL IND PRECOS RF LP;1,5;Moderado;9,21934;133,335
13/05/2021;FIC EMPREENDER RF LP;1,5;Moderado;27,504261;41,363
13/05/2021;FIC IDEAL RF LP;1,5;Moderado;5,777191;855,771
13/05/2021;FIC SOBERANO RF LP;1,5;Conservador;12,309377;198,404
13/05/2021;FIC CLASSICO RF LP;1,4;Moderado;8,869374;55,799
13/05/2021;FIC BRASIL DISPONIBILIDADES RF;0,8;Conservador;1,89098;986,94
13/05/2021;FIC DESENVOLVER RF LP;1,3;Conservador;1,793205;6,543
13/05/2021;FI RS TTULOS PBLICOS RF LP;0,2;Moderado;4,530303;202,731
13/05/2021;FI BRASIL IMA-B 5+ TP RF LP;0,2;Moderado;2,685768;1.512,78
13/05/2021;FI BRASIL IRF-M 1+ TP RF LP;0,2;Moderado;2,473146;1.872,28
13/05/2021;FIC OAB RF CRED PRIV LP;0,4;Moderado;1,692711;469,246
13/05/2021;FIC BRASIL GESTAO ESTRATEGICA RF;0,4;Moderado;1,516735;15.860,72
13/05/2021;FIC ABSOLUTO PRE RF LP;1,1;Moderado;13,052665;611,439
13/05/2021;FIC EXECUTIVO RF LP;1,1;Moderado;19,169829;3.396,25
13/05/2021;FI BRASIL IMA-B TP RF LP;0,2;Moderado;3,618133;5.821,55
13/05/2021;FI BRASIL IMA-B 5 TP RF LP;0,2;Moderado;3,253939;14.133,22
13/05/2021;FI BRASIL IMA GERAL TP RF LP;0,2;Moderado;2,941759;1.107,72
13/05/2021;FIC FORTALECER RF LP;1;Moderado;3,427744;57,906
13/05/2021;FI BRASIL TTULOS PBLICOS RF LP;0,2;Moderado;4,076545;4.263,14
13/05/2021;FI BRASIL IRF-M 1 TP RF;0,2;Conservador;2,622795;9.084,59
13/05/2021;FI BRASIL IRF-M TP RF LP;0,2;Moderado;2,295767;1.740,79
13/05/2021;FI BRASIL IDKA IPCA 2A RF LP;0,2;Moderado;2,426044;11.606,05
13/05/2021;FIC RELACIONAMENTO IDEAL RF LP;1;Moderado;1,923536;39,53
13/05/2021;FI ALIANCA TP RF;0,2;Moderado;4,29202;576,49
13/05/2021;FIC INVESTIDOR RF LP;0,85;Moderado;10,965248;1.607,39
13/05/2021;FI SAUDE SUPLEMENTAR-ANS RF LP;0,35;Conservador;2,936583;958,132
13/05/2021;FIC EXPANDIR RF LP;0,9;Moderado;1,884446;30,738
13/05/2021;FIC E-FUNDO RF LP;0,7;Moderado;1,925103;62,721
13/05/2021;FIC RELACIONAMENTO PERSONAL RF LP;0,7;Moderado;1,994163;138,164
13/05/2021;FIC EXPERTISE RF CRED PRIV LP;0,5;Moderado;2,753714;984,716
13/05/2021;FIC FOCO IND PRECOS RF LP;1;Moderado;2,091959;1.077,16
13/05/2021;FIC SELECAO RF;1,1;Conservador;9,591655;15,262
13/05/2021;FI INSTITUCIONAL TTULOS PBLICOS  RF LP;0,1;Conservador;2,725346;8,361
13/05/2021;FIC SUPREMO RF LP;0,8;Moderado;3,557537;303,13
13/05/2021;FIC PERSONAL RF LP;0,6;Moderado;17,409596;4.555,78
13/05/2021;FIC PATRIMONIO IND PRECOS RF LP;0,3;Moderado;15,279518;471,217
13/05/2021;FI DIAMANTE RF CRED PRIV LP;0,12;Conservador;1.040,96;258,903
13/05/2021;CAIXA FI SAFIRA CORPORATIVO RF LP;0,1;Conservador;2,762347;4.135,03
13/05/2021;FI SAUDE SUPLEMENTAR-ANS II RF LP;0,07;Conservador;2,899726;481,644
13/05/2021;FIC ATLETA INVEST RF CRED PRIV LP;0,4;Moderado;1,897369;4,06
13/05/2021;FI CNI RF LP;0,15;Moderado;4,939679;2.109,54
13/05/2021;FI SEBRAE RF LP;0,1;Moderado;10,060404;1.534,22
13/05/2021;FIC BETA RF REF DI LP;1,5;Conservador;18,39622;178,025
13/05/2021;FI BRASIL RF REF DI LP;0,2;Moderado;3,764132;5.835,22
13/05/2021;FIC NOVO BRASIL RF REF IMA-B LP;0,2;Moderado;3,852113;2.759,43
13/05/2021;FIC GIRO IMEDIATO RF REF DI LP;1,5;Conservador;1,714028;8.390,30
13/05/2021;FIC PLENO RF REF DI LP;0,7;Conservador;2,061167;764,919
13/05/2021;FIC PREFERENCIAL RF REF DI LP;0,6;Conservador;5,512882;2.339,57
13/05/2021;FIC SIGMA RF REF DI LP;0,35;Conservador;2,548525;10.312,92
13/05/2021;FIC RUBI RF REF DI LP;0,3;Conservador;2,675401;8.307,39
13/05/2021;CAIXA FI TOPAZIO CORPORATIVO REF DI;0,1;Conservador;2,502665;5.508,70
13/05/2021;FIC PRATICO RF CURTO PRAZO;1,7;Conservador;5,994408;26.983,24
13/05/2021;FIC LIQUIDEZ POLIS RF CP;1,7;Conservador;4,437746;590,221
13/05/2021;FIC FUNDACOES RF CP;0,4;Conservador;12,043654;56,872
13/05/2021;FIC TURQUESA CORPORATIVO RF CP;0,1;Conservador;1.011,88;4.400,25
13/05/2021;FIC TRANSFERNCIA VOLUNTARIA RF CP;1,7;Conservador;1,577601;2.913,47
13/05/2021;FI MULTIMERCADO RV30 LP;1;Arrojado;7,990323;1.990,15
13/05/2021;FIC JUROS E MOEDAS MM PLUS LP;1;Arrojado;1,125036;77,908
13/05/2021;FI OURO MULTIMERCADO LP;0,8;Agressivo;1,522622;249,935
13/05/2021;FIC HEDGE MULTIMERCADO LONGO PRAZO;1;Arrojado;1.005,73;30,269
13/05/2021;FI CAIXA INDEXA BOLSA AMERICANA MM LP;0,8;Arrojado;1,47387;1.856,79
13/05/2021;FIC MULTIMERCADO MULTIGESTOR;1,5;Agressivo;1,860223;460,247
13/05/2021;FIC ESTRATEGIA LIVRE MULTIMERCADO LP;1,5;Arrojado;1.087,16;918,081
13/05/2021;FIC ESTRATEGICO MULTIMERCADO LP;1,2;Agressivo;3,469694;288,377
13/05/2021;FIC CAPITAL PROTEGIDO IBOVESPA CCLICO I MULT;1,6;Arrojado;2,461123;103,5
13/05/2021;CAIXA EXPERT GIANT ZARATHUSTRA MULT;2;Agressivo;-;-
13/05/2021;FIC FIM MULTIGESTOR GLOBAL EQUITIES IE;1;Arrojado;1.016,33;159,554
13/05/2021;CAIXA IMOB MULT FIC MM CRED PRIV;1;Agressivo;-;-
13/05/2021;FI BTG PACTUAL X10 MULT LP;2;Agressivo;4,154461;993,28
13/05/2021;FIC ALOCACAO MACRO MULTIMERCADO LP;0,5;Arrojado;3,549307;4.524,35
13/05/2021;FI JUROS E MOEDAS MULTIMERCADO LP;0,7;Arrojado;2,119432;1.149,71
13/05/2021;FIC INDEXA DOLAR CAMBIAL;0,8;Arrojado;3,284192;181,94
13/05/2021;FI ACOES VALE DO RIO DOCE;2;Arrojado;35,391936;1.303,59
13/05/2021;CAIXA FIA PETROBRAS PLUS;1,5;Arrojado;0,833767;75,43
13/05/2021;FIC ACOES IBOVESPA;2;Arrojado;6,544875;171,482
13/05/2021;FI ACOES INFRAESTRUTURA;2;Arrojado;1,914754;496,897
13/05/2021;CAIXA FIA INDEXA SETOR FINANCEIRO;0,8;Arrojado;-;-
13/05/2021;FI ACOES CONSTRUCAO CIVIL;2;Arrojado;1,57691;410,521
13/05/2021;FI ACOES IBOVESPA ATIVO;3;Agressivo;1,848362;97,084
13/05/2021;FI ACOES CONSUMO;1,6;Arrojado;2,049497;594,59
13/05/2021;FI ACOES PETROBRAS PRE-SAL;0,5;Arrojado;1,164447;65,899
13/05/2021;CAIXA FIC FIA ACOES MULTIGESTOR;1,5;Arrojado;1,260967;1.061,12
13/05/2021;FI ACOES INDEXA PIBB IBRX-50;0,8;Arrojado;4,155317;110,648
13/05/2021;FI ACOES IBRX ATIVO;1,5;Agressivo;3,695592;131,472
13/05/2021;FI ACOES PETROBRAS;1,5;Arrojado;7,712321;634,236
13/05/2021;FI ACOES DIVIDENDOS;1,5;Arrojado;4,037118;298,656
13/05/2021;FI ACOES ISE;0,8;Arrojado;1,679804;14,983
13/05/2021;FI ACOES BRASIL IBOVESPA;0,5;Arrojado;2,731371;835,983
13/05/2021;FI ACOES BRASIL IBX-50;0,7;Arrojado;1,578315;1.240,90
13/05/2021;FI ACOES SMALL CAPS ATIVO;1,5;Agressivo;2,005927;1.144,28
13/05/2021;FI ACOES BRASIL ETF IBOVESPA;0,5;Arrojado;2,5096;128,37
13/05/2021;FI ACOES BDR NVEL I;1,5;Arrojado;5,285561;876,472
13/05/2021;FIA ACOES INSTITUCIONAL BDR NIVEL I;0,7;Arrojado;5,683812;2.903,72
13/05/2021;FIC ACOES VALOR SMALL CAP RPPS;1,72;Arrojado;1,935681;790,965
13/05/2021;CAIXA EXPERT CLARITAS VALOR FIC ACOES;0;Agressivo;1.183,95;41,383
13/05/2021;FIC ACOES VALOR DIVIDENDOS RPPS;1,72;Arrojado;2,223001;990,361
13/05/2021;CAIXA FIC EXPERT VERDE AM LONG BIAS ACOES;2;Agressivo;1.140,99;64,335
13/05/2021;ETF IBOVESPA FUNDO DE NDICE;0,5;Arrojado;118,153719;124,062
13/05/2021;FMP-FGTS PETROBRAS II;1,4;Arrojado;7,556056;245,838
13/05/2021;FMP-FGTS PETROBRAS III;1,2;Arrojado;7,940409;452,465
13/05/2021;FMP-FGTS PETROBRAS IV;0,95;Arrojado;8,354338;379,426
13/05/2021;FMP FGTS VALE I;1,9;Arrojado;33,785191;697,376
13/05/2021;FMP FGTS VALE II;1,4;Arrojado;38,125596;1.281,63
13/05/2021;FMP-FGTS CL PETROBRAS RF49;2,2;Arrojado;5,273506;0,737
13/05/2021;FMP FGTS VALE MIGRACAO;1,9;Arrojado;33,01633;6,233
12/05/2021;FIC FACIL RF SIMPLES;1,7;Conservador;3,417278;8.307,08
12/05/2021;FI E-SIMPLES RENDA FIXA LP;1,5;Unknown;1,380969;2.886,42
12/05/2021;FIC GERACAO JOVEM CRED PRIV RF LP;1;Arrojado;1,911942;6,916
12/05/2021;FIC CAPITAL IND PRECOS RF LP;1,5;Moderado;9,217741;133,221
12/05/2021;FIC EMPREENDER RF LP;1,5;Moderado;27,500654;41,428
12/05/2021;FIC IDEAL RF LP;1,5;Moderado;5,776428;856,473
12/05/2021;FIC SOBERANO RF LP;1,5;Conservador;12,308317;198,459
12/05/2021;FIC CLASSICO RF LP;1,4;Moderado;8,868173;55,845
12/05/2021;FIC BRASIL DISPONIBILIDADES RF;0,8;Conservador;1,890792;972,174
12/05/2021;FIC DESENVOLVER RF LP;1,3;Conservador;1,792963;6,552
12/05/2021;FI RS TTULOS PBLICOS RF LP;0,2;Moderado;4,529545;201,948
12/05/2021;FI BRASIL IMA-B 5+ TP RF LP;0,2;Moderado;2,679864;1.509,23
12/05/2021;FI BRASIL IRF-M 1+ TP RF LP;0,2;Moderado;2,470425;1.869,36
12/05/2021;FIC OAB RF CRED PRIV LP;0,4;Moderado;1,692245;472,113
12/05/2021;FIC BRASIL GESTAO ESTRATEGICA RF;0,4;Moderado;1,515588;15.823,67
12/05/2021;FIC ABSOLUTO PRE RF LP;1,1;Moderado;13,039925;613,436
12/05/2021;FIC EXECUTIVO RF LP;1,1;Moderado;19,166671;3.400,08
12/05/2021;FI BRASIL IMA-B TP RF LP;0,2;Moderado;3,61364;5.815,02
12/05/2021;FI BRASIL IMA-B 5 TP RF LP;0,2;Moderado;3,253523;14.136,15
12/05/2021;FI BRASIL IMA GERAL TP RF LP;0,2;Moderado;2,939706;1.098,95
12/05/2021;FIC FORTALECER RF LP;1;Moderado;3,427219;57,869
12/05/2021;FI BRASIL TTULOS PBLICOS RF LP;0,2;Moderado;4,075944;4.268,93
12/05/2021;FI BRASIL IRF-M 1 TP RF;0,2;Conservador;2,622179;9.074,10
